,Original_data,Translated_data
0,Pequeno,Klein
1,Raton,Maus
2,estampo,Feld
3,su,seine
4,pie,Fuß
5,contra,gegen
6,el,die
7,suelo,Boden
8,de,von
9,la,die
10,selva.,Dschungel
11,Despues,Nach
12,acerco,Acer
13,su,seine
14,oido,gehört
15,al,zu
16,suelo.,Boden
17,Intentaba,Ich habe es versucht
18,ver,sehen
19,si,ja
20,el,die
21,mundo,Welt
22,temblaba,zitterte
23,a,a
24,consecuencia,Folge
25,de,von
26,su,seine
27,feroz,heftig
28,pisada.,treten
29,"""Soy","""Ich bin"
30,el,die
31,animal,Tier
32,mas,mehr
33,fuerte,stark
34,del,von der
35,"mundo!"",","Welt! """
36,grito.,schreien
37,"""No","""Nein"
38,permitas,zulassen
39,que,was
40,el,die
41,elefante,Elefant
42,te,du
43,escuche,hör zu
44,diciendo,sagen
45,"eso"",","das "","
46,dije,Sagte ich
47,el,die
48,tio,Onkel
49,de,von
50,Pequeno,Klein
51,Raton.,Maus
52,"""El","""Die"
53,elefante,Elefant
54,es,ist
55,muy,sehr
56,poderoso.,mächtig
57,No,Nein
58,le,er
59,agradara,bitte
60,escucharte,hör auf dich
61,"alardear"".","prahlen. """
62,"""Donde","""Wo"
63,esta,dieser hier
64,el,die
65,"elefante?"",","Elefant? "","
66,pregunto,Frage ich
67,Pequeno,Klein
68,Raton.,Maus
69,"""Encontrare","""Ich werde finden"
70,a,a
71,ese,das
72,elefante,Elefant
73,y,und
74,le,er
75,ensenare,lehren
76,quien,wer
77,es,ist
78,el,die
79,mas,mehr
80,fuerte.,stark
81,Lo,Was?
82,hare,Hase
83,"pedazos"".","Stücke. """
84,El,Die
85,raton,Maus
86,salio,kam heraus
87,a,a
88,buscar,finden
89,al,zu
90,elefante.,Elefant
91,Mientras,Während
92,"caminaba,","Ich ging,"
93,Pequeno,Klein
94,Raton,Maus
95,se,es
96,topo,Maulwurf
97,con,mit
98,una,a
99,lagartija.,Eidechse
100,"""Eres","""Du bist es"
101,un,a
102,"elefante?"",","Elefant? "","
103,pregunto,Frage ich
104,Pequeno,Klein
105,Raton.,Maus
106,"""No.","""Nein."
107,Soy,Ich bin
108,una,a
109,"lagartija"".","Eidechse. """
110,"""Tienes","""Sie haben"
111,mucha,viel
112,"suerte"",","Glück "","
113,dijo,sagte
114,Pequeno,Klein
115,Raton.,Maus
116,"""Cuando","""Wann"
117,encuentre,finden
118,al,zu
119,elefante,Elefant
120,voy,Ich gehe
121,a,a
122,"despedazarlo"".","zerreißt es. """
123,La,Die
124,lagartija,Eidechse
125,comenzo,gestartet
126,a,a
127,reirse,lachen
128,de,von
129,aquel,das eine
130,raton,Maus
131,fanfarron.,sich rühmen
132,Pero,Aber
133,el,die
134,raton,Maus
135,estampo,Feld
136,su,seine
137,pie,Fuß
138,contra,gegen
139,el,die
140,suelo.,Boden
141,Y,Y
142,en,in
143,cuanto,wie viel
144,"piso,",boden
145,truenos,Donner
146,resonaron,hallte
147,por,von
148,los,die
149,aires.,lüftet
150,El,Die
151,sonido,Ton
152,espanto,Angst
153,a,a
154,la,die
155,lagartija.,Eidechse
156,Y,Y
157,corrio,Ich rannte
158,lejos,weg
159,de,von
160,ahi.,dort
161,"""Le","""Le"
162,he,Ich habe
163,demostrado,demonstriert
164,que,was
165,poderoso,mächtig
166,"soy"",","Ich bin "","
167,penso,Ich denke
168,el,die
169,raton.,Maus
170,Y,Y
171,siguio,folgte
172,caminando,zu Fuß
173,para,für
174,encontrar,finden
175,al,zu
176,elefante.,Elefant
177,El,Die
178,raton,Maus
179,dio,gab
180,con,mit
181,un,a
182,perro.,Hund
183,"""Eres","""Du bist es"
184,un,a
185,"elefante?"",","Elefant? "","
186,pregunto.,Frage ich
187,"""Soy","""Ich bin"
188,un,a
189,"perro"",","hund """
190,ladro,bellen
191,el,die
192,perro.,Hund
193,"""Tienes","""Sie haben"
194,mucha,viel
195,"suerte"",","Glück "","
196,dijo,sagte
197,Pequeno,Klein
198,Raton.,Maus
199,"""Cuando","""Wann"
200,encuentre,finden
201,al,zu
202,"elefante,",Elefant
203,lo,was
204,hare,Hase
205,"pedazos"".","Stücke. """
206,El,Die
207,perro,Hund
208,comenzo,gestartet
209,a,a
210,reirse,lachen
211,de,von
212,aquel,das eine
213,raton,Maus
214,fanfarron.,sich rühmen
215,Pero,Aber
216,el,die
217,raton,Maus
218,estampo,Feld
219,su,seine
220,pie,Fuß
221,contra,gegen
222,el,die
223,suelo.,Boden
224,Y,Y
225,al,zu
226,"pisar,","tritt auf,"
227,el,die
228,amo,Ich liebe
229,del,von der
230,perro,Hund
231,silbo.,Pfeife
232,El,Die
233,perro,Hund
234,se,es
235,dio,gab
236,la,die
237,vuelta,zurückkehren
238,y,und
239,corrio,Ich rannte
240,en,in
241,sentido,Sinn
242,contrario.,Gegenteil.
243,"""Le","""Le"
244,he,Ich habe
245,demostrado,demonstriert
246,que,was
247,poderoso,mächtig
248,"soy"",","Ich bin "","
249,penso,Ich denke
250,el,die
251,raton.,Maus
252,Y,Y
253,siguio,folgte
254,caminando,zu Fuß
255,en,in
256,busca,suchen
257,del,von der
258,elefante.,Elefant
259,Pequeno,Klein
260,Raton,Maus
261,camino,Straße
262,hasta,bis zu
263,que,was
264,dio,gab
265,con,mit
266,un,a
267,rio.,Fluss
268,Un,A
269,animal,Tier
270,grande,groß
271,y,und
272,gris,grau
273,se,es
274,detuvo,gestoppt
275,junto,zusammen
276,al,zu
277,rio.,Fluss
278,Era,Es war
279,tan,so
280,grande,groß
281,como,als
282,una,a
283,montana.,Montana
284,Sus,Dein
285,piernas,Beine
286,eran,sie waren
287,tan,so
288,largas,lang
289,como,als
290,arboles.,Bäume
291,Tenia,Ich hatte
292,unas,einige
293,orejas,Ohren
294,y,und
295,una,a
296,nariz,Nase
297,enormes.,riesig
298,El,Die
299,elefante,Elefant
300,estaba,Ich war
301,inclinado.,geneigt
302,Tomaba,Ich habe genommen
303,un,a
304,poco,wenig
305,de,von
306,agua,Wasser
307,del,von der
308,rio,Fluss
309,cuando,wann
310,vio,sah
311,a,a
312,Pequeno,Klein
313,Raton.,Maus
314,El,Die
315,ratoncito,kleine Maus
316,se,es
317,veia,Ich sah
318,como,als
319,una,a
320,pelusa,Flusen
321,moviendose,sich bewegen
322,en,in
323,el,die
324,suelo.,Boden
325,"""Hey"",","""Hey"","
326,dijo,sagte
327,Pequeno,Klein
328,Raton.,Maus
